Reference Point Name,Volttron Point Name,Units,Unit Details,BACnet Object Type,Property,Writable,Index,Write Priority,Notes
Effective Setpoint,EffectiveZoneTemperatureSetPoint,degreesFahrenheit,,analogInput,presentValue,TRUE,329,16,
PI Heating Demand,HeatingDemand,percent,(default 100.0),analogOutput,presentValue,TRUE,21,16,
PI Cooling Demand,CoolingDemand,percent,(default 0.0),analogOutput,presentValue,TRUE,22,16,
Economizer Demand,EconomizerDemand,percent,(default 0.0),analogOutput,presentValue,TRUE,23,16,
Analog Output Heat Demand,ModulatingHeatingDemand,percent,(default 0.0),analogOutput,presentValue,TRUE,24,16,
UO11 Analog Output,UO11 Analog Output,volts,(default 0.0),analogOutput,presentValue,TRUE,123,16,
UO12 Analog Output,UO12 Analog Output,volts,(default 0.0),analogOutput,presentValue,TRUE,124,16,
UO9 Analog Output,UO9 Analog Output,volts,(default 0.0),analogOutput,presentValue,TRUE,125,16,
UO10 Analog Output,EconomizerVoltageOutput,volts,(default 0.0),analogOutput,presentValue,TRUE,126,16,
DR Flag,DemandResponseFlag,enum,,analogValue,presentValue,TRUE,29,8,
HeartBeat,HeartBeat,enum,,analogValue,presentValue,TRUE,30,8,
Occupied Heat Setpoint,OccupiedHeatingSetPoint,degreesFahrenheit,(default 72.0),analogValue,presentValue,TRUE,39,16,
Occupied Cool Setpoint,OccupiedCoolingSetPoint,degreesFahrenheit,(default 75.0),analogValue,presentValue,TRUE,40,16,
Unoccupied Heat Setpoint,UnoccupiedHeatingSetPoint,degreesFahrenheit,(default 62.0),analogValue,presentValue,TRUE,43,16,
Unoccupied Cool Setpoint,UnoccupiedCoolingSetPoint,degreesFahrenheit,(default 80.0),analogValue,presentValue,TRUE,44,16,
Heating Setpoint Limit,HeatingSetpointLimit,degreesFahrenheit,(default 90.0),analogValue,presentValue,TRUE,58,16,
Cooling Setpoint Limit,CoolingSetpointLimit,degreesFahrenheit,(default 54.0),analogValue,presentValue,TRUE,59,16,
Minimum Deadband,DeadBand,deltaDegreesFahrenheit,(default 3.0),analogValue,presentValue,TRUE,63,16,
Proportional Band,ProportionalBand,noUnits,(default 3.0),analogValue,presentValue,TRUE,65,16,
Calibrate Outside Temperature Sensor,CalibrateOutsideTemperatureSensor,deltaDegreesFahrenheit,(default 0.0),analogValue,presentValue,TRUE,74,16,
Number of Cooling Stages,NumberCoolingStages,noUnits,(default 2.0),analogValue,presentValue,TRUE,75,16,
Economizer Minimum Position,EconomizerMinimumPosition,percent,(default 0.0),analogValue,presentValue,TRUE,78,16,
Economizer Maximum Position,EconomizerMaximumPosition,percent,(default 100.0),analogValue,presentValue,TRUE,81,16,
High balance point,HighBalancePoint,degreesFahrenheit,(default 90.0),analogValue,presentValue,TRUE,82,16,
Low balance point,LowBalancePoint,degreesFahrenheit,(default -12.0),analogValue,presentValue,TRUE,83,16,
Anti Short Cycle Time,AntiShortCycleTime,minutes,(default 2.0),analogValue,presentValue,TRUE,86,16,
Number of Heating Stages,NumberHeatingStages,noUnits,(default 2.0),analogValue,presentValue,TRUE,87,16,
Heating Lockout from Outside Air Temperature,HeatingLockoutOutdoorAirTemperature,degreesFahrenheit,(default 120.0),analogValue,presentValue,TRUE,91,16,
Cooling Lockout,CoolingLockoutOutdoorAirTemperature,degreesFahrenheit,(default -40.0),analogValue,presentValue,TRUE,93,16,
Changeover Setpoint,EconomizerSwitchOverSetPoint,degreesFahrenheit,(default 55.0),analogValue,presentValue,TRUE,95,16,
Room Temperature,ZoneTemperature,degreesFahrenheit,(default 68.70000457763672),analogValue,presentValue,TRUE,100,16,
Outdoor Temperature,OutdoorAirTemperature,degreesFahrenheit,(default -40.0),analogValue,presentValue,TRUE,101,16,
UI22 Supply Temperature,UI22 Supply Temperature,degreesFahrenheit,(default -40.0),analogValue,presentValue,TRUE,102,16,
Room Humidity,ZoneHumidity,percentRelativeHumidity,(default 14.0),analogValue,presentValue,TRUE,103,16,
UI19 Temperature,UI19 Temperature,degreesFahrenheit,(default -40.0),analogValue,presentValue,TRUE,104,16,
UI20 Remote Temperature,UI20 Remote Temperature,degreesFahrenheit,(default -40.0),analogValue,presentValue,TRUE,105,16,
UI19 Analog Input,UI19 Analog Input,volts,(default 0.0),analogValue,presentValue,TRUE,108,16,
UI24 Temperature,UI24 Temperature,degreesFahrenheit,(default -40.0),analogValue,presentValue,TRUE,109,16,
UI16 Analog Input,UI16 Analog Input,volts,(default 0.0),analogValue,presentValue,TRUE,111,16,
UI17 Analog Input,UI17 Analog Input,volts,(default 0.0),analogValue,presentValue,TRUE,112,16,
UI20 Analog Input,ZoneTemperatureVoltage,volts,(default 0.0),analogValue,presentValue,TRUE,113,16,
UI22 Analog Input,UI22 Analog Input,volts,(default 0.0),analogValue,presentValue,TRUE,114,16,
UI23 Analog Input,UI23 Analog Input,volts,(default 0.0),analogValue,presentValue,TRUE,115,16,
UI24 Analog Input,UI24 Analog Input,volts,(default 0.0),analogValue,presentValue,TRUE,116,16,
UI16 Temperature,UI16 Temperature,degreesFahrenheit,(default -40.0),analogValue,presentValue,TRUE,117,16,
UI17 Temperature,UI17 Temperature,degreesFahrenheit,(default -40.0),analogValue,presentValue,TRUE,118,16,
UI20 Temperature,UI20 Temperature,degreesFahrenheit,(default -40.0),analogValue,presentValue,TRUE,120,16,
UI22 Temperature,SupplyAirTemperature,degreesFahrenheit,(default -40.0),analogValue,presentValue,TRUE,121,16,
UI23 Temperature,OutdoorAirTemperature,degreesFahrenheit,(default -40.0),analogValue,presentValue,TRUE,122,16,
Mixed Air Temperature,MixedAirTemperature,degreesFahrenheit,(default -40.0),analogValue,presentValue,TRUE,125,16,
G Fan Status,SupplyFanStatus,Enum,0-1 (default 1),binaryOutput,presentValue,TRUE,25,16,
Y1 Status,FirstStageCooling,Enum,0-1 (default 0),binaryOutput,presentValue,TRUE,26,16,
Y2 Status,SecondStageCooling,Enum,0-1 (default 0),binaryOutput,presentValue,TRUE,27,16,
W1 Status,FirstStageHeating,Enum,0-1 (default 1),binaryOutput,presentValue,TRUE,28,16,
W2/OB Status,ReversingValve,Enum,0-1 (default 1),binaryOutput,presentValue,TRUE,29,16,
UO10 Binary Output,UO10 Binary Output,Enum,0-1 (default 0),binaryOutput,presentValue,TRUE,94,16,
BO1 Auxiliary Binary Output,AuxiliaryHeatCommand,Enum,0-1 (default 1),binaryOutput,presentValue,TRUE,98,16,
UO11 Binary Output,UO11 Binary Output,Enum,0-1 (default 0),binaryOutput,presentValue,TRUE,101,16,
UO12 Binary Output,UO12 Binary Output,Enum,0-1 (default 0),binaryOutput,presentValue,TRUE,102,16,
Smart Recovery Status,Smart Recovery Status,Enum,0-1 (default 0),binaryValue,presentValue,TRUE,40,16,
Frost Protection Alarm,FrostProtectionAlarm,Enum,0-1 (default 0),binaryValue,presentValue,TRUE,43,16,
Effective Occupancy,EffectiveOccupancy,State,State count: 4,multiStateInput,presentValue,TRUE,33,16,"1=Unoccupied, 2=Override, 3=Standby"
